ds,trend,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Juneteenth National Independence Day,Juneteenth National Independence Day_lower,Juneteenth National Independence Day_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,y,yhat,yhat_lower,yhat_upper,sigma
2023-06-20,881.5425872605176,881.5425872605176,881.5425872605176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.3447499550708,672.3447499550708,672.3447499550708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.6145929180002,822.6145929180002,822.6145929180002,672.3447499550708,672.3447499550708,672.3447499550708,7.571561849110585,7.571561849110585,7.571561849110585,0.0,0.0,0.0,1.0,1.0191393148990724,0.01,14.921430452491386,8.036006437914631
2023-06-21,1257.5588839983716,1257.5588839983716,1257.5588839983716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.98577375289209,39.98577375289209,39.98577375289209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.317647450015547,2.317647450015547,2.317647450015547,39.98577375289209,39.98577375289209,39.98577375289209,23.050065487574383,23.050065487574383,23.050065487574383,0.0,0.0,0.0,1368.0220351722733,1367.8501975108713,1083.8398809177145,1651.8605141040282,164.16781305962826
2023-06-22,1700.1908457874695,1700.1908457874695,1700.1908457874695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.048250795754605,18.048250795754605,18.048250795754605,0.0,0.0,0.0,18.048250795754605,18.048250795754605,18.048250795754605,0.0,0.0,0.0,1371.540528939889,1367.8937196454463,1090.6005052194223,1645.1869340714702,160.28509504394444
2023-06-23,2209.4384726278104,2209.4384726278095,2209.4384726278095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725309011158997,13.725309011158997,13.725309011158997,0.0,0.0,0.0,13.725309011158997,13.725309011158997,13.725309011158997,0.0,0.0,0.0,1499.0000000000002,1874.8809897702931,1536.4755880638932,2213.286391476693,195.61005878982664
2023-06-24,2785.301764519396,2785.301764519396,2785.301764519396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.874420146507956,6.874420146507956,6.874420146507956,0.0,0.0,0.0,6.874420146507956,6.874420146507956,6.874420146507956,0.0,0.0,0.0,3692.0000000000005,3068.9239728349608,2659.713725825599,3478.1342198443226,236.53771503431318
2023-06-25,3106.6178659205975,3106.617865920598,3106.617865920598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.85205126802231,111.85205126802231,111.85205126802231,0.0,0.0,0.0,111.85205126802231,111.85205126802231,111.85205126802231,0.0,0.0,0.0,4421.0,4397.421283122099,3907.342058613992,4887.500507630207,283.28278873301014
2023-06-26,3445.4700033916256,3445.4700033916256,3445.4700033916256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32622996001283,5.32622996001283,5.32622996001283,0.0,0.0,0.0,5.32622996001283,5.32622996001283,5.32622996001283,0.0,0.0,0.0,3606.000000000001,3721.730657582964,3262.2406273778056,4181.220687788123,265.6011735289933
2023-06-27,3801.858176932486,3801.858176932486,3801.858176932486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.571561849051782,7.571561849051782,7.571561849051782,0.0,0.0,0.0,7.571561849051782,7.571561849051782,7.571561849051782,0.0,0.0,0.0,3463.0,3470.1009641221076,3039.0811189981882,3901.120809246027,249.14441914677423
2023-06-28,4175.745888393151,4175.745888393151,4175.745888393151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.050065487623772,23.050065487623772,23.050065487623772,0.0,0.0,0.0,23.050065487623772,23.050065487623772,23.050065487623772,0.0,0.0,0.0,3368.0,3578.308351467518,3130.397949738483,4026.2187531965533,258.9077466641821
2023-06-29,4567.166291179716,4567.166291179716,4567.166291179716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.04825079570472,18.04825079570472,18.04825079570472,0.0,0.0,0.0,18.04825079570472,18.04825079570472,18.04825079570472,0.0,0.0,0.0,4211.0,4011.0042576756696,3540.5280486708066,4481.480466680533,271.9515658987648
2023-06-30,4976.119385292173,4976.119385292173,4976.119385292173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.725309011124018,13.725309011124018,13.725309011124018,0.0,0.0,0.0,13.725309011124018,13.725309011124018,13.725309011124018,0.0,0.0,0.0,4525.000000000001,4467.164003099271,3965.4083704245336,4968.919635774009,290.0321576154553
